"","source","target","correlation","pval","pval_adj","comb"
"1086","PAX3","FGFR4",0.126985609276609,0.00020577201280414,0.000333016913473754,"PAX3_FGFR4"
"2676","FGFR4","STAT1",-0.303999844395881,0,0,"FGFR4_STAT1"
"7025","KRT1","MPO",0.1799203695539,1.28502599672231e-07,2.57181974538503e-07,"KRT1_MPO"
"9483","SOSTDC1","WNT7A",-0.102229171593603,0.0028459827220555,0.00419016488643673,"SOSTDC1_WNT7A"
"12458","CRH","CRHR1",0.105296183567818,0.00211268756097116,0.00314748424411223,"CRH_CRHR1"
"15804","SPI1","ANXA1",0.255399233459963,3.99680288865056e-14,1.11526938248082e-13,"SPI1_ANXA1"
"16474","PKP2","DSP",0.352554306566871,0,0,"PKP2_DSP"
"31632","NLGN2","NRXN1",0.46011252088136,0,0,"NLGN2_NRXN1"
"31655","NLGN3","NRXN1",0.627644437938956,0,0,"NLGN3_NRXN1"
"37302","FYN","DLG2",-0.434526789240336,0,0,"FYN_DLG2"
"39104","CDK5RAP2","CEP152",-0.324372203061467,0,0,"CDK5RAP2_CEP152"
"48230","PPP4C","BANF1",0.867184015588549,0,0,"PPP4C_BANF1"
"50480","NEK2","NDC80",0.738315382008664,0,0,"NEK2_NDC80"
"61284","PTCRA","ZAP70",0.253614975221655,6.08402217494586e-14,1.6835009873507e-13,"PTCRA_ZAP70"
"64938","KCNQ2","KCNQ3",-0.129252987585767,0.000157677468147543,0.000257386652893015,"KCNQ2_KCNQ3"
"65733","SOSTDC1","WNT2B",0.0871381817302685,0.0110349533238017,0.0153486626225431,"SOSTDC1_WNT2B"
"72155","RPS6KA2","L1CAM",-0.217171382755605,1.5662182661913e-10,3.67484221866824e-10,"RPS6KA2_L1CAM"
"89427","FYN","FCGR2A",0.406662490945439,0,0,"FYN_FCGR2A"
"91650","RLN2","RXFP1",-0.300727430051302,0,0,"RLN2_RXFP1"
"91819","MUSK","DOK7",-0.179580462051328,1.35810880319553e-07,2.71422425138195e-07,"MUSK_DOK7"
"99789","PROC","F7",0.164637634971384,1.39390142095408e-06,2.61918287104425e-06,"PROC_F7"
"99857","HPN","F7",0.0824310986951382,0.0162250176677226,0.0221731958722065,"HPN_F7"
"102798","DLX2","MSX1",0.734803939060999,0,0,"DLX2_MSX1"
"107590","FYN","MAG",0.21239517470245,3.98239441423698e-10,9.15062464869556e-10,"FYN_MAG"
"109122","TGFBR1","PIK3R2",0.520995458636234,0,0,"TGFBR1_PIK3R2"
"111422","TNFSF13","TNFRSF17",0.150002054645639,1.1246327418224e-05,1.99212268220888e-05,"TNFSF13_TNFRSF17"
"115763","CCL7","CCR1",0.515671816820154,0,0,"CCL7_CCR1"
"117851","HSF4","DNASE2B",-0.250677574632654,1.20348175869367e-13,3.28613648890931e-13,"HSF4_DNASE2B"
"118217","LRRK2","ARHGEF7",-0.330264670689705,0,0,"LRRK2_ARHGEF7"
"129460","FYN","CDK5",0.370823201955132,0,0,"FYN_CDK5"
"135634","FYN","CD300LF",0.393721305120808,0,0,"FYN_CD300LF"
"143890","CDK5","DNM1",-0.35093016287423,0,0,"CDK5_DNM1"
"151087","TBX1","FLT4",0.792520279019498,0,0,"TBX1_FLT4"
"167343","WNT1","CTNNB1",-0.209961697969409,6.35340668964091e-10,1.44454311833772e-09,"WNT1_CTNNB1"
