"","source","target","correlation","pval","pval_adj","comb"
"3766","CBL","SORBS2",-0.338425042746195,9.81437153768638e-14,2.67452893233809e-13,"CBL_SORBS2"
"5071","WNT1","FZD6",-0.271812561701564,3.36276295698212e-09,7.02663157648379e-09,"WNT1_FZD6"
"5625","TRIM25","ZFHX3",-0.362217541931107,1.33226762955019e-15,4.00956011673369e-15,"TRIM25_ZFHX3"
"6710","SOSTDC1","BMP7",0.273679487912243,2.59975996286244e-09,5.4705349267591e-09,"SOSTDC1_BMP7"
"9356","SOSTDC1","WNT16",-0.0959412953927497,0.040134786759825,0.0491330029714757,"SOSTDC1_WNT16"
"10439","PSTPIP1","PTPN18",0.833535468663309,0,0,"PSTPIP1_PTPN18"
"11788","KRT1","MPO",0.270553515565947,3.99567801068201e-09,8.31064970139187e-09,"KRT1_MPO"
"12052","BMP7","ACVR2B",0.660596662372097,0,0,"BMP7_ACVR2B"
"15091","SOSTDC1","WNT7A",-0.110054299885138,0.0184734529145407,0.0233979580787954,"SOSTDC1_WNT7A"
"15311","ULK1","FBP1",0.395264726360085,0,0,"ULK1_FBP1"
"16167","CDK5RAP2","APP",-0.212547198653423,4.45770521273481e-06,7.5825280471218e-06,"CDK5RAP2_APP"
"17016","OXTR","DRD2",0.128694649729015,0.00581317436628948,0.00772096923007238,"OXTR_DRD2"
"19177","HTR1F","GNAI1",0.281314790193082,8.89146090088389e-10,1.92563703910371e-09,"HTR1F_GNAI1"
"19183","F2RL2","GNAI1",0.271476166823873,3.52163498362756e-09,7.34971074660924e-09,"F2RL2_GNAI1"
"19254","LPAR2","GNAI1",-0.451742804206809,0,0,"LPAR2_GNAI1"
"19290","OXTR","GNAI1",0.520319084401407,0,0,"OXTR_GNAI1"
"19295","DRD2","GNAI1",0.249724182301788,6.10268073852893e-08,1.17733128662125e-07,"DRD2_GNAI1"
"23906","PLK3","TOP2A",-0.380243043006598,0,0,"PLK3_TOP2A"
"24374","SPI1","ANXA1",0.517076345118504,0,0,"SPI1_ANXA1"
"24993","CEBPE","LTF",0.635566540942573,0,0,"CEBPE_LTF"
"25430","PKP2","DSP",0.652773623199036,0,0,"PKP2_DSP"
"39707","ULK1","GABARAP",0.689266100815428,0,0,"ULK1_GABARAP"
"40202","PTPRB","CDH5",0.902242508327222,0,0,"PTPRB_CDH5"
"42550","SPI1","FLI1",0.41921434849076,0,0,"SPI1_FLI1"
