"","source","target","correlation","pval","pval_adj","comb"
"2841","MUC1","KLF4",-0.260348089775178,9.81292009161194e-06,2.71509912637069e-05,"MUC1_KLF4"
"6019","SOSTDC1","WNT7A",0.389769953620702,1.24908972054527e-11,5.88108455708145e-11,"SOSTDC1_WNT7A"
"6392","NFASC","ANK1",-0.152623196294233,0.0104055186147232,0.0183934396915995,"NFASC_ANK1"
"25284","PROC","F5",0.429069989024001,5.15143483426073e-14,2.91164504029719e-13,"PROC_F5"
"25859","FOXO1","FBXO32",0.676094627034331,0,0,"FOXO1_FBXO32"
"29218","NEK2","NDC80",0.610507419902357,0,0,"NEK2_NDC80"
"42510","SOSTDC1","WNT2B",-0.132958787413926,0.0258295605293584,0.0420668719857797,"SOSTDC1_WNT2B"
"45610","CHEK1","PLK1",0.70612249627637,0,0,"CHEK1_PLK1"
"49409","HOXA11","PRL",0.307112698910332,1.49898904622248e-07,5.00721659273122e-07,"HOXA11_PRL"
"52953","PLK1","GTSE1",0.795171701489575,0,0,"PLK1_GTSE1"
"60232","EZH2","SNAI2",-0.399210962002353,3.566036355096e-12,1.75288895000542e-11,"EZH2_SNAI2"
"68212","DLX5","MSX1",0.379891756779349,4.44588810211144e-11,2.00545817040445e-10,"DLX5_MSX1"
"80652","PBX1","HOXB1",-0.135884934997631,0.0227104793998976,0.0374308926130427,"PBX1_HOXB1"
"93831","PLK1","CDC20",0.784795639140432,0,0,"PLK1_CDC20"
"95639","NEDD4","KCNH2",0.521987865079775,0,0,"NEDD4_KCNH2"
"113163","PITX1","GNRH1",-0.178606683266692,0.00265715567320912,0.00523657738214197,"PITX1_GNRH1"
"120219","CDK5","STMN1",0.471602503718789,0,0,"CDK5_STMN1"
"122424","CHEK1","CDC25C",0.679028724472094,0,0,"CHEK1_CDC25C"
"122568","PLK1","CDC25C",0.695200714150343,0,0,"PLK1_CDC25C"
"122604","PPP1CA","CDC25C",0.577542008692901,0,0,"PPP1CA_CDC25C"
"123312","CENPE","MAD2L1",0.791517692160163,0,0,"CENPE_MAD2L1"
"123354","TTK","MAD2L1",0.800357396178021,0,0,"TTK_MAD2L1"
"125497","SOHLH1","ZP3",0.210256411308801,0.000387318005528048,0.000871931927741543,"SOHLH1_ZP3"
"128051","MMP7","SPP1",0.188794546742855,0.00147628488177887,0.00303561476741502,"MMP7_SPP1"
"140070","CDK5","EZR",0.515006247134812,0,0,"CDK5_EZR"
"142177","ZEB2","MEOX2",0.537769013783492,0,0,"ZEB2_MEOX2"
"148941","FOXJ1","DNAI1",0.802523077613518,0,0,"FOXJ1_DNAI1"
"150181","PLK1","KIF2C",0.84948644866589,0,0,"PLK1_KIF2C"
"163422","CXCL9","CXCR3",0.757781814353271,0,0,"CXCL9_CXCR3"
"164159","MAP2K6","MAPK10",-0.351362931157601,1.37903422015029e-09,5.51542149810111e-09,"MAP2K6_MAPK10"
"164292","CDK5","MAPK10",-0.582455377164846,0,0,"CDK5_MAPK10"
"171214","FGF2","FGFR3",-0.206894167521964,0.000482007748354274,0.00106967366074489,"FGF2_FGFR3"
"181104","TPX2","KIF11",0.823185229375156,0,0,"TPX2_KIF11"
"181966","FCN2","MASP1",0.290180156896793,7.43932054181329e-07,2.32047843045872e-06,"FCN2_MASP1"
"187333","CFAP53","DNAH5",0.678572930960419,0,0,"CFAP53_DNAH5"
"191852","PTPN6","VAV1",0.638040031054396,0,0,"PTPN6_VAV1"
