"","feature","importance.05","importance","importance.95","permutation.error"
"1","HSP90AB1",0.0683760683760684,0.0833333333333333,0.10042735042735,0.108974358974359
"2","BHLHE40",0.0485042735042735,0.0662393162393163,0.081517094017094,0.0918803418803419
"3","STAT1",0.0534188034188034,0.0608974358974359,0.075,0.0865384615384615
"4","EGFR",0.0233974358974359,0.0341880341880342,0.0386752136752137,0.0598290598290598
"5","APOE",0.00213675213675214,0.00641025641025641,0.00854700854700855,0.032051282051282
"6","TAP1",-0.000106837606837606,0.00427350427350428,0.00854700854700855,0.0299145299145299
"7","IRS2",0.00416666666666667,0.00427350427350428,0.00641025641025641,0.0299145299145299
"8","BHLHE41",0,0.00213675213675214,0.00213675213675214,0.0277777777777778
"9","NOS2",0.00202991452991453,0.00213675213675214,0.00213675213675214,0.0277777777777778
"10","INSR",-0.000106837606837606,0.00213675213675214,0.00427350427350428,0.0277777777777778
"11","HBA1",-0.00213675213675214,0.00213675213675214,0.00641025641025641,0.0277777777777778
