"","feature","importance.05","importance","importance.95","permutation.error"
"1","CLU",0.0853448275862069,0.103448275862069,0.114942528735632,0.114942528735632
"2","TIMP3",0.0627873563218391,0.0747126436781609,0.0923850574712644,0.0862068965517241
"3","HLA.A",0.0596264367816092,0.0689655172413793,0.0863505747126437,0.0804597701149425
"4","ITGB4",0.0113505747126437,0.014367816091954,0.0173850574712644,0.0258620689655172
"5","TBX2",0.0028735632183908,0.00574712643678161,0.00574712643678161,0.0172413793103448
"6","DYRK2",0,0.0028735632183908,0.0028735632183908,0.014367816091954
"7","BDKRB2",0,0.0028735632183908,0.0028735632183908,0.014367816091954
"8","CYSLTR2",0,0.0028735632183908,0.0028735632183908,0.014367816091954
"9","HK2",0,0.0028735632183908,0.00301724137931035,0.014367816091954
"10","SCNN1G",0,0.0028735632183908,0.0028735632183908,0.014367816091954
"11","CDR2",0,0.0028735632183908,0.0028735632183908,0.014367816091954
"12","TYMS",0,0.0028735632183908,0.0028735632183908,0.014367816091954
"13","S1PR1",0,0.0028735632183908,0.0028735632183908,0.014367816091954
"14","H2BC21",0.0028735632183908,0.0028735632183908,0.0028735632183908,0.014367816091954
"15","SFRP1",0.00272988505747126,0.0028735632183908,0.00862068965517241,0.014367816091954
"16","DNM1",-0.00014367816091954,0.0028735632183908,0.00301724137931035,0.014367816091954
