"","feature","importance.05","importance","importance.95","permutation.error"
"1","CRP",0.0771266540642722,0.0945179584120983,0.115406427221172,0.20226843100189
"2","ERRFI1",0.037523629489603,0.052930056710775,0.0664461247637051,0.160680529300567
"3","DUSP1",0.0206994328922495,0.0330812854442344,0.0437618147448015,0.140831758034026
"4","H3.3A",0.00746691871455577,0.0141776937618147,0.0208884688090737,0.121928166351607
"5","NPM1",0.00359168241965973,0.0132325141776938,0.0228733459357278,0.120982986767486
"6","JUN",-0.000189035916824196,0.0056710775047259,0.00945179584120982,0.113421550094518
"7","DLK1",0,0.00472589792060491,0.00775047258979207,0.112476370510397
"8","PKN1",0.00179584120982987,0.00189035916824197,0.00387523629489603,0.109640831758034
"9","HMGA1",0,0.00189035916824197,0.00189035916824197,0.109640831758034
"10","SOCS3",0,0.00189035916824197,0.0056710775047259,0.109640831758034
"11","RCAN1",-0.00378071833648394,0.00189035916824197,0.0056710775047259,0.109640831758034
"12","NME1",0,0.00189035916824197,0.00387523629489603,0.109640831758034
