"","feature","importance.05","importance","importance.95","permutation.error"
"1","SOCS3",0.0255232558139535,0.0337209302325581,0.0420348837209302,0.0744186046511628
"2","SCNN1A",0.0197093023255814,0.0308139534883721,0.0397674418604651,0.0715116279069767
"3","FOS",0.0219767441860465,0.0302325581395349,0.0407558139534884,0.0709302325581395
"4","FGA",0.0138372093023256,0.0238372093023256,0.0291279069767442,0.0645348837209302
"5","MIF",0.010406976744186,0.022093023255814,0.0291279069767442,0.0627906976744186
"6","FKBP5",0.00930232558139535,0.0162790697674419,0.0269186046511628,0.0569767441860465
"7","KRT17",0.00802325581395348,0.0122093023255814,0.0186046511627907,0.052906976744186
"8","LDLR",0.00226744186046512,0.011046511627907,0.016453488372093,0.0517441860465116
"9","IRF1",0.00581395348837209,0.00930232558139535,0.0151744186046512,0.05
"10","ADM",0.00348837209302325,0.00872093023255814,0.0140697674418605,0.0494186046511628
"11","MAPK13",0.00348837209302325,0.00755813953488372,0.0118023255813954,0.0482558139534884
"12","RAB10",0.00116279069767442,0.00581395348837209,0.00819767441860465,0.0465116279069767
"13","GDF15",-0.00122093023255814,0.00348837209302325,0.0047093023255814,0.0441860465116279
"14","LRIG3",0.00110465116279069,0.00348837209302325,0.0047093023255814,0.0441860465116279
"15","MFGE8",-5.81395348837209e-05,0.00348837209302325,0.00930232558139535,0.0441860465116279
"16","CD79A",0,0.00348837209302325,0.00465116279069767,0.0441860465116279
"17","DOK2",0.00110465116279069,0.00232558139534884,0.00348837209302325,0.0430232558139535
"18","MMP13",-0.000116279069767441,0.00174418604651163,0.00354651162790697,0.0424418604651163
"19","PTPRS",-0.00232558139534884,0.00116279069767442,0.00232558139534884,0.0418604651162791
"20","CD300LF",0.00116279069767442,0.00116279069767442,0.00232558139534884,0.0418604651162791
"21","NSF",-0.00116279069767442,0.00116279069767442,0.00354651162790697,0.0418604651162791
"22","SLC1A3",0.00110465116279069,0.00116279069767442,0.00127906976744186,0.0418604651162791
"23","B3GNT3",-5.81395348837209e-05,0.00116279069767442,0.00348837209302325,0.0418604651162791
"24","BRCC3",-0.00116279069767442,0.00116279069767442,0.00232558139534884,0.0418604651162791
"25","BEST1",0.00110465116279069,0.00116279069767442,0.00232558139534884,0.0418604651162791
"26","PRDX3",-0.00232558139534884,0.00116279069767442,0.00354651162790697,0.0418604651162791
"27","HLTF",0.00110465116279069,0.00116279069767442,0.00354651162790697,0.0418604651162791
"28","H1.2",-0.00116279069767442,0.000581395348837208,0.00232558139534884,0.0412790697674419
