"","feature","importance.05","importance","importance.95","permutation.error"
"1","NKX3.1",0.0537925696594427,0.0634674922600619,0.0743034055727554,0.153250773993808
"2","ACTG2",0.0401702786377709,0.054953560371517,0.0619969040247678,0.144736842105263
"3","FASN",0.0229102167182663,0.0286377708978328,0.0389318885448917,0.118421052631579
"4","HPN",0.00464396284829721,0.011609907120743,0.0171826625386997,0.101393188854489
"5","KAT2A",0,0.00386996904024768,0.00773993808049536,0.0936532507739938
"6","LRIG1",0,0.00309597523219815,0.00789473684210527,0.0928792569659443
"7","ITGB4",-0.00162538699690401,0.00232198142414861,0.00472136222910217,0.0921052631578947
"8","ERBB3",0.00147058823529412,0.00232198142414861,0.00781733746130032,0.0921052631578947
"9","HSF4",-0.00154798761609906,0.00154798761609908,0.0031733746130031,0.0913312693498452
"10","CRYAB",-7.73993808049528e-05,0.00154798761609908,0.0031733746130031,0.0913312693498452
"11","SERPING1",-0.00162538699690401,0.00154798761609908,0.00464396284829721,0.0913312693498452
"12","HDAC7",-0.00154798761609906,0.000773993808049538,0.00325077399380806,0.0905572755417957
"13","FAM83H",-0.00154798761609906,0.000773993808049538,0.00309597523219815,0.0905572755417957
"14","CNR1",0,0.000773993808049538,0.00154798761609908,0.0905572755417957
