"","feature","importance.05","importance","importance.95","permutation.error"
"1","DDX5",0.136057692307692,0.149038461538462,0.160336538461538,0.174679487179487
"2","KRT18",0.0608173076923077,0.0705128205128205,0.0786057692307692,0.0961538461538462
"3","JUN",0.0175480769230769,0.0264423076923077,0.0354967948717949,0.0520833333333333
"4","APOE",0.0173878205128205,0.0232371794871795,0.0272435897435897,0.0488782051282051
"5","MUC2",0.016025641025641,0.0208333333333333,0.0274038461538462,0.046474358974359
"6","CD68",0,0.00480769230769231,0.00801282051282051,0.0304487179487179
"7","PRKDC",0,0.00320512820512821,0.00809294871794872,0.0288461538461538
"8","ESPL1",0,0.0016025641025641,0.0016025641025641,0.0272435897435897
"9","RUNX1",-0.00168269230769231,0.0016025641025641,0.00320512820512821,0.0272435897435897
"10","PTPRC",-8.01282051282047e-05,0.0016025641025641,0.00320512820512821,0.0272435897435897
"11","INCENP",0,0.0016025641025641,0.0016025641025641,0.0272435897435897
"12","CACNA1H",-8.01282051282047e-05,0.0016025641025641,0.00328525641025641,0.0272435897435897
"13","CCL5",0,0.000801282051282052,0.0016025641025641,0.0264423076923077
