"","feature","importance.05","importance","importance.95","permutation.error"
"1","EEF1A1",0.299941176470588,0.313529411764706,0.328470588235294,0.377058823529412
"2","CTSD",0.0136470588235294,0.0188235294117647,0.0247058823529412,0.0823529411764706
"3","KRT8",0.00582352941176471,0.0105882352941176,0.0167058823529412,0.0741176470588235
"4","APOE",0.0023529411764706,0.00764705882352942,0.013,0.0711764705882353
"5","HSPA1A",-0.00129411764705881,0.0023529411764706,0.00823529411764706,0.0658823529411765
"6","LGALS3",-5.88235294117641e-05,0.0023529411764706,0.00476470588235295,0.0658823529411765
"7","CTSH",-0.00117647058823529,0.00176470588235295,0.00358823529411766,0.0652941176470588
"8","IFITM3",-0.00135294117647058,0.00117647058823531,0.00588235294117648,0.0647058823529412
"9","MFGE8",0,0.00117647058823531,0.00352941176470589,0.0647058823529412
"10","PLAU",-0.00129411764705881,0.000588235294117653,0.00123529411764707,0.0641176470588235
