"","feature","importance.05","importance","importance.95","permutation.error"
"1","TXNIP",0.230960854092527,0.256227758007117,0.299110320284698,0.281138790035587
"2","MIF",0.0386120996441281,0.0569395017793594,0.0782918149466192,0.0818505338078292
"3","PTGER3",0.0106761565836299,0.0142348754448399,0.0213523131672598,0.0391459074733096
"4","WT1",0.00355871886120996,0.0142348754448399,0.0213523131672598,0.0391459074733096
"5","GNAL",0,0.00355871886120996,0.00355871886120996,0.0284697508896797
"6","GNAO1",0.00338078291814947,0.00355871886120996,0.00355871886120996,0.0284697508896797
"7","LPAR2",0,0.00355871886120996,0.00355871886120996,0.0284697508896797
"8","WNT2B",0,0.00355871886120996,0.00355871886120996,0.0284697508896797
"9","S1PR3",-0.00355871886120996,0.00355871886120996,0.00355871886120996,0.0284697508896797
"10","PTGFR",0,0.00355871886120996,0.00355871886120996,0.0284697508896797
"11","AVPR1A",0,0.00355871886120996,0.00355871886120996,0.0284697508896797
"12","EDNRA",0,0.00355871886120996,0.00711743772241993,0.0284697508896797
"13","HTR2B",0,0.00355871886120996,0.00355871886120996,0.0284697508896797
"14","P2RY1",0,0.00355871886120996,0.00355871886120996,0.0284697508896797
"15","PAX2",0,0.00355871886120996,0.00373665480427046,0.0284697508896797
